title,explanation
Μαθηματικά,"Γραμμική Άλγεβρα, Πιθανότητες, Στατιστική κ.λπ."
Προγραμματισμός,"Γλώσσες, Τεχνολογία Λογισμικού"
Συστήματα,"Αρχιτεκτονική, Λειτουργικά, Υλικό"
Θεωρία_Υπολογισμού,"Αλγόριθμοι, Δομές, Πολυπλοκότητα, Διακριτά"
Δίκτυα,"Τηλεπικοινωνίες, Ασφάλεια, Διαδίκτυο"
Δεδομένα,"Βάσεις, Πληροφοριακά Συστήματα, Ανάλυση Δεδομένων"
Τεχνητή_Νοημοσύνη,"Μηχανική Μάθηση, Εξόρυξη Γνώσης"
Οικονομία_Διοίκηση,"Οικονομικά, Μάνατζμεντ, Επιχειρησιακή Έρευνα"
Εφαρμογές,"Γραφικά, Web, Αλληλεπίδραση Ανθρώπου-Υπολογιστή"
Έρευνα,"Πτυχιακή, Ερευνητική"
Python,"Python"
Java,"Java"
C++,"C++"
Κυβερνοασφάλεια,"Ασφάλεια Δικτύων, Κρυπτογραφία, Ασφάλεια Λογισμικού"
